DBA,BORO,ZIPCODE,Latitude,Longitude
B CUP CAFE,Manhattan,10009,40.72859622,-73.97865139
809 GRILL & BAR RESTAURANT,Manhattan,10040,40.86201245,-73.92502273
DUNKIN',Manhattan,10016,40.74244937,-73.98051988
SOOTHR LIMITED,Manhattan,10003,40.73242096,-73.98728824
JALAO,Manhattan,10033,40.84754615,-73.93131385
MARACA NYC,Manhattan,10034,40.86202601,-73.92068799
PARAMOUNT CLUB,Manhattan,10019,40.76123707,-73.9794567
JUNGLE BIRD,Manhattan,10011,40.74268159,-74.0003717
AUDACE,Manhattan,10016,40.74221124,-73.98487211
DD SOUP DUMPLING,Manhattan,10036,40.75758251,-73.99061868
The migrant kitchen,Manhattan,10065,40.76770452,-73.97051599
AKREMA LLC,Manhattan,10010,40.74047612,-73.98195671
LOSSIES,Manhattan,10002,40.71910667,-73.99452743
THE ART CENTER CAFE,Manhattan,10004,40.6925445,-74.01628133
CAFE EVERGREEN,Manhattan,10021,40.76864932,-73.95538887
Gnocchi on 9th UWS LLC,Manhattan,10023,40.77641559,-73.97952421
TSUBAME,Manhattan,10007,40.71282098,-74.00829646
J'S KITCHEN NEW YORK,Manhattan,10003,40.73209086,-73.98189404
RUDIN - 3TS CAFE,Manhattan,10036,40.75636894,-73.98671335
BLISSFULLY HOSPITALITY LLC,Manhattan,10013,40.71841464,-74.01045802
CAVIAR RUSSE,Manhattan,10022,40.7606183,-73.97358743
EMBRIAGO CAFE LLC,Manhattan,10002,40.72141218,-73.99284609
JJD GROUP LLC,Manhattan,10009,40.72257808,-73.98607073
VERSA,Manhattan,10001,40.75197774,-73.99092987
SERAFINA IN THE SKY,Manhattan,10036,40.75849667,-73.99283487
YAYA TEA,Manhattan,10002,40.71638936,-73.99476574
HIMAWARI,Manhattan,10013,40.71724582,-73.99747843
PINTO GARDEN,Manhattan,10011,40.73475471,-73.99950205
EMERALD INN,Manhattan,10023,40.7792927,-73.98328575
MILANO PIZZA AND PASTA,Manhattan,10031,40.81908827,-73.9521069
BOILERMAKER,Manhattan,10003,40.7233771,-73.98870059
JUICE TENDERS LLC,Manhattan,10029,40.80025913,-73.94553237
POWER BOWLS,Manhattan,10038,40.70968643,-74.00863152
KENNEDY FRIED CHICKEN,Manhattan,10026,40.7973924,-73.94885754
SMILER'S DELI,Manhattan,10022,40.76045639,-73.97370662
IDEAL HOSPITALITY LLC,Manhattan,10018,40.75056365,-73.98566062
"G.F. 37 REST. GROUP, LLC",Manhattan,10018,40.75610068,-73.99683446
WIN SON BAKERY,Manhattan,10003,40.72447244,-73.99068108
CAFFE NAPOLI,Manhattan,10013,40.71811592,-73.99780307
KOKO WINGS,Manhattan,10025,40.80109081,-73.96729373
P.J. CLARKE'S,Manhattan,10022,40.75903601,-73.96840819
L’ARTUSI SUPPER CLUB,Manhattan,10014,40.73330263,-74.00486755
PAPA JOHN'S,Manhattan,10033,40.84532162,-73.93871477
